# y_over_delta u_over_ubulk
2.6500000000000001e-01 9.7140847499883043e-01
2.6750000000000002e-01 9.7246691340117564e-01
2.7000000000000002e-01 9.7352535180352073e-01
2.7250000000000002e-01 9.7458379020586605e-01
2.7500000000000002e-01 9.7564222860821126e-01
2.7750000000000002e-01 9.7666214591053335e-01
2.8000000000000003e-01 9.7767991119609454e-01
2.8250000000000003e-01 9.7869767648165573e-01
2.8500000000000003e-01 9.7971544176721692e-01
2.8750000000000003e-01 9.8070503327329961e-01
2.8999999999999998e-01 9.8168335526759087e-01
2.9249999999999998e-01 9.8266167726188236e-01
2.9499999999999998e-01 9.8363999925617374e-01
2.9749999999999999e-01 9.8460155005011518e-01
2.9999999999999999e-01 9.8554503955137240e-01
3.0249999999999999e-01 9.8648852905262929e-01
3.0499999999999999e-01 9.8743201855388640e-01
3.0750000000000000e-01 9.8836696390614720e-01
3.1000000000000000e-01 9.8927609502101543e-01
3.1250000000000000e-01 9.9018522613588367e-01
3.1500000000000000e-01 9.9109435725075179e-01
3.1750000000000000e-01 9.9200298357731576e-01
3.2000000000000001e-01 9.9288031302902291e-01
3.2250000000000001e-01 9.9375764248073006e-01
3.2500000000000001e-01 9.9463497193243722e-01
3.2750000000000001e-01 9.9551230138414437e-01
3.3000000000000002e-01 9.9636693696211343e-01
3.3250000000000002e-01 9.9721528572370910e-01
3.3500000000000002e-01 9.9806363448530477e-01
3.3750000000000002e-01 9.9891198324690034e-01
3.4000000000000002e-01 9.9974448861084708e-01
3.4250000000000003e-01 1.0005640450440232e+00
3.4500000000000003e-01 1.0013836014771995e+00
3.4750000000000003e-01 1.0022031579103754e+00
3.5000000000000003e-01 1.0030140043917006e+00
3.5249999999999998e-01 1.0038061244765450e+00
3.5499999999999998e-01 1.0045982445613899e+00
3.5749999999999998e-01 1.0053903646462350e+00
3.5999999999999999e-01 1.0061804175453588e+00
3.6249999999999999e-01 1.0069481189988778e+00
3.6499999999999999e-01 1.0077158204523970e+00
3.6749999999999999e-01 1.0084835219059158e+00
3.7000000000000000e-01 1.0092512233594351e+00
3.7250000000000000e-01 1.0099987107806969e+00
3.7500000000000000e-01 1.0107426827180883e+00
3.7750000000000000e-01 1.0114866546554797e+00
3.8000000000000000e-01 1.0122306265928711e+00
3.8250000000000001e-01 1.0129597195248055e+00
3.8500000000000001e-01 1.0136796561456898e+00
3.8750000000000001e-01 1.0143995927665737e+00
3.9000000000000001e-01 1.0151195293874580e+00
3.9250000000000002e-01 1.0158310959837336e+00
3.9500000000000002e-01 1.0165293622669320e+00
3.9750000000000002e-01 1.0172276285501307e+00
4.0000000000000002e-01 1.0179258948333294e+00
4.0250000000000002e-01 1.0186210519829662e+00
4.0500000000000003e-01 1.0192990552922607e+00
4.0750000000000003e-01 1.0199770586015555e+00
4.1000000000000003e-01 1.0206550619108503e+00
4.1250000000000003e-01 1.0213330652201447e+00
4.1500000000000004e-01 1.0219925228463045e+00
4.1749999999999998e-01 1.0226503817066763e+00
4.1999999999999998e-01 1.0233082405670486e+00
4.2249999999999999e-01 1.0239660994274209e+00
4.2499999999999999e-01 1.0246099712343124e+00
4.2749999999999999e-01 1.0252474950707784e+00
4.2999999999999999e-01 1.0258850189072444e+00
4.3250000000000000e-01 1.0265225427437106e+00
4.3500000000000000e-01 1.0271519014119534e+00
4.3750000000000000e-01 1.0277714808670930e+00
4.4000000000000000e-01 1.0283910603222326e+00
4.4250000000000000e-01 1.0290106397773715e+00
4.4500000000000001e-01 1.0296263764961426e+00
4.4750000000000001e-01 1.0302286636376237e+00
4.5000000000000001e-01 1.0308309507791049e+00
4.5250000000000001e-01 1.0314332379205862e+00
4.5500000000000002e-01 1.0320355250620672e+00
4.5750000000000002e-01 1.0326201052075836e+00
4.6000000000000002e-01 1.0332044959734641e+00
4.6250000000000002e-01 1.0337888867393445e+00
4.6500000000000002e-01 1.0343732775052252e+00
4.6750000000000003e-01 1.0349449863512441e+00
4.7000000000000003e-01 1.0355126156985668e+00
4.7250000000000003e-01 1.0360802450458890e+00
4.7500000000000003e-01 1.0366478743932113e+00
4.7750000000000004e-01 1.0372074360816175e+00
4.7999999999999998e-01 1.0377596635346447e+00
4.8249999999999998e-01 1.0383118909876725e+00
4.8499999999999999e-01 1.0388641184406997e+00
4.8749999999999999e-01 1.0394117251448161e+00
4.8999999999999999e-01 1.0399480740243114e+00
4.9249999999999999e-01 1.0404844229038068e+00
4.9500000000000000e-01 1.0410207717833022e+00
4.9750000000000000e-01 1.0415562245647714e+00
5.0000000000000000e-01 1.0420771768509052e+00
5.0250000000000006e-01 1.0425981291370388e+00
5.0500000000000000e-01 1.0431190814231723e+00
5.0750000000000006e-01 1.0436400337093064e+00
5.1000000000000001e-01 1.0441492500360954e+00
5.1249999999999996e-01 1.0446559837561005e+00
5.1500000000000001e-01 1.0451627174761056e+00
5.1749999999999996e-01 1.0456694511961102e+00
5.2000000000000002e-01 1.0461675098858321e+00
5.2249999999999996e-01 1.0466596044922341e+00
5.2500000000000002e-01 1.0471516990986363e+00
5.2749999999999997e-01 1.0476437937050382e+00
5.3000000000000003e-01 1.0481309203324432e+00
5.3249999999999997e-01 1.0486092068795727e+00
5.3500000000000003e-01 1.0490874934267027e+00
5.3749999999999998e-01 1.0495657799738325e+00
5.4000000000000004e-01 1.0500423371169270e+00
5.4249999999999998e-01 1.0505070046072800e+00
5.4500000000000004e-01 1.0509716720976334e+00
5.4749999999999999e-01 1.0514363395879864e+00
5.5000000000000004e-01 1.0519010070783392e+00
5.5249999999999999e-01 1.0523538611049945e+00
5.5500000000000005e-01 1.0528053170886085e+00
5.5750000000000000e-01 1.0532567730722227e+00
5.6000000000000005e-01 1.0537082290558366e+00
5.6250000000000000e-01 1.0541510067955024e+00
5.6500000000000006e-01 1.0545893412742666e+00
5.6750000000000000e-01 1.0550276757530310e+00
5.7000000000000006e-01 1.0554660102317956e+00
5.7250000000000001e-01 1.0558990872612180e+00
5.7500000000000007e-01 1.0563251543581844e+00
5.7750000000000001e-01 1.0567512214551511e+00
5.7999999999999996e-01 1.0571772885521176e+00
5.8250000000000002e-01 1.0576008452628154e+00
5.8499999999999996e-01 1.0580140890353260e+00
5.8750000000000002e-01 1.0584273328078373e+00
5.8999999999999997e-01 1.0588405765803486e+00
5.9250000000000003e-01 1.0592538203528599e+00
5.9499999999999997e-01 1.0596551584975697e+00
5.9750000000000003e-01 1.0600560387335181e+00
5.9999999999999998e-01 1.0604569189694661e+00
6.0250000000000004e-01 1.0608577992054145e+00
6.0499999999999998e-01 1.0612502425951718e+00
6.0750000000000004e-01 1.0616395680200326e+00
6.0999999999999999e-01 1.0620288934448934e+00
6.1250000000000004e-01 1.0624182188697542e+00
6.1499999999999999e-01 1.0628018502068763e+00
6.1750000000000005e-01 1.0631797268808585e+00
6.2000000000000000e-01 1.0635576035548404e+00
6.2250000000000005e-01 1.0639354802288226e+00
6.2500000000000000e-01 1.0643101145560447e+00
6.2750000000000006e-01 1.0646757351592744e+00
6.3000000000000000e-01 1.0650413557625040e+00
6.3250000000000006e-01 1.0654069763657337e+00
6.3500000000000001e-01 1.0657722229698108e+00
6.3750000000000007e-01 1.0661260625997291e+00
6.4000000000000001e-01 1.0664799022296476e+00
6.4249999999999996e-01 1.0668337418595659e+00
6.4500000000000002e-01 1.0671875814894844e+00
6.4749999999999996e-01 1.0675327601184708e+00
6.5000000000000002e-01 1.0678757591578185e+00
6.5249999999999997e-01 1.0682187581971663e+00
6.5500000000000003e-01 1.0685617572365140e+00
6.5749999999999997e-01 1.0688987153706979e+00
6.6000000000000003e-01 1.0692310440261577e+00
6.6249999999999998e-01 1.0695633726816174e+00
6.6500000000000004e-01 1.0698957013370773e+00
6.6749999999999998e-01 1.0702244470599813e+00
6.7000000000000004e-01 1.0705460269177738e+00
6.7249999999999999e-01 1.0708676067755662e+00
6.7500000000000004e-01 1.0711891866333585e+00
6.7749999999999999e-01 1.0715095974061382e+00
6.8000000000000005e-01 1.0718195479445936e+00
6.8250000000000000e-01 1.0721294984830487e+00
6.8500000000000005e-01 1.0724394490215039e+00
6.8750000000000000e-01 1.0727493995599593e+00
6.9000000000000006e-01 1.0730495709214185e+00
6.9250000000000000e-01 1.0733482515546771e+00
6.9500000000000006e-01 1.0736469321879358e+00
6.9750000000000001e-01 1.0739456128211944e+00
7.0000000000000007e-01 1.0742377373516638e+00
7.0250000000000001e-01 1.0745260921230293e+00
7.0499999999999996e-01 1.0748144468943950e+00
7.0750000000000002e-01 1.0751028016657607e+00
7.0999999999999996e-01 1.0753870727125234e+00
7.1250000000000002e-01 1.0756652719056012e+00
7.1499999999999997e-01 1.0759434710986788e+00
7.1750000000000003e-01 1.0762216702917564e+00
7.1999999999999997e-01 1.0764981476291786e+00
7.2250000000000003e-01 1.0767661771122914e+00
7.2499999999999998e-01 1.0770342065954042e+00
7.2750000000000004e-01 1.0773022360785169e+00
7.2999999999999998e-01 1.0775702655616299e+00
7.3250000000000004e-01 1.0778283921675935e+00
7.3499999999999999e-01 1.0780858473920554e+00
7.3750000000000004e-01 1.0783433026165175e+00
7.3999999999999999e-01 1.0786007578409791e+00
7.4250000000000005e-01 1.0788502695404889e+00
7.4500000000000000e-01 1.0790964365979141e+00
7.4750000000000005e-01 1.0793426036553386e+00
7.5000000000000000e-01 1.0795887707127634e+00
7.5250000000000006e-01 1.0798299951527939e+00
7.5500000000000000e-01 1.0800656660901342e+00
7.5750000000000006e-01 1.0803013370274743e+00
7.6000000000000001e-01 1.0805370079648147e+00
7.6250000000000007e-01 1.0807703131960367e+00
7.6500000000000001e-01 1.0809960481676795e+00
7.6750000000000007e-01 1.0812217831393225e+00
7.7000000000000002e-01 1.0814475181109653e+00
7.7249999999999996e-01 1.0816732009616352e+00
7.7500000000000002e-01 1.0818890850693434e+00
7.7749999999999997e-01 1.0821049691770521e+00
7.8000000000000003e-01 1.0823208532847606e+00
7.8249999999999997e-01 1.0825367373924688e+00
7.8500000000000003e-01 1.0827449938558791e+00
7.8749999999999998e-01 1.0829510038213113e+00
7.9000000000000004e-01 1.0831570137867437e+00
7.9249999999999998e-01 1.0833630237521754e+00
7.9500000000000004e-01 1.0835633976061794e+00
7.9749999999999999e-01 1.0837589641886709e+00
8.0000000000000004e-01 1.0839545307711622e+00
8.0249999999999999e-01 1.0841500973536538e+00
8.0500000000000005e-01 1.0843422097904707e+00
8.0750000000000000e-01 1.0845265206224013e+00
8.1000000000000005e-01 1.0847108314543317e+00
8.1250000000000000e-01 1.0848951422862627e+00
8.1500000000000006e-01 1.0850786916402893e+00
8.1750000000000000e-01 1.0852527225205153e+00
8.2000000000000006e-01 1.0854267534007414e+00
8.2250000000000001e-01 1.0856007842809670e+00
8.2500000000000007e-01 1.0857748151611930e+00
8.2750000000000001e-01 1.0859406240399954e+00
8.3000000000000007e-01 1.0861048815977743e+00
8.3250000000000002e-01 1.0862691391555535e+00
8.3499999999999996e-01 1.0864333967133324e+00
8.3750000000000002e-01 1.0865917154007514e+00
8.3999999999999997e-01 1.0867462125541998e+00
8.4250000000000003e-01 1.0869007097076480e+00
8.4499999999999997e-01 1.0870552068610964e+00
8.4750000000000003e-01 1.0872059877299942e+00
8.4999999999999998e-01 1.0873505922386533e+00
8.5250000000000004e-01 1.0874951967473121e+00
8.5499999999999998e-01 1.0876398012559712e+00
8.5750000000000004e-01 1.0877828843653063e+00
8.5999999999999999e-01 1.0879168390787000e+00
8.6250000000000004e-01 1.0880507937920934e+00
8.6499999999999999e-01 1.0881847485054872e+00
8.6750000000000005e-01 1.0883187032188806e+00
8.7000000000000000e-01 1.0884427347702252e+00
8.7250000000000005e-01 1.0885657855439255e+00
8.7500000000000000e-01 1.0886888363176261e+00
8.7750000000000006e-01 1.0888118870913264e+00
8.8000000000000000e-01 1.0889281738540799e+00
8.8250000000000006e-01 1.0890412371428666e+00
8.8500000000000001e-01 1.0891543004316533e+00
8.8750000000000007e-01 1.0892673637204400e+00
8.9000000000000001e-01 1.0893760560914816e+00
8.9250000000000007e-01 1.0894792848153416e+00
8.9500000000000002e-01 1.0895825135392014e+00
8.9749999999999996e-01 1.0896857422630615e+00
9.0000000000000002e-01 1.0897868742878085e+00
9.0249999999999997e-01 1.0898801961083593e+00
9.0500000000000003e-01 1.0899735179289101e+00
9.0749999999999997e-01 1.0900668397494611e+00
9.1000000000000003e-01 1.0901601615700121e+00
9.1249999999999998e-01 1.0902431724898700e+00
9.1500000000000004e-01 1.0903259604713349e+00
9.1749999999999998e-01 1.0904087484527998e+00
9.2000000000000004e-01 1.0904915364342647e+00
9.2249999999999999e-01 1.0905662029398713e+00
9.2500000000000004e-01 1.0906381046877387e+00
9.2749999999999999e-01 1.0907100064356066e+00
9.3000000000000005e-01 1.0907819081834740e+00
9.3250000000000000e-01 1.0908486524095413e+00
9.3500000000000005e-01 1.0909105049654475e+00
9.3750000000000000e-01 1.0909723575213532e+00
9.4000000000000006e-01 1.0910342100772594e+00
9.4250000000000000e-01 1.0910932657617953e+00
9.4500000000000006e-01 1.0911451445688540e+00
9.4750000000000001e-01 1.0911970233759127e+00
9.5000000000000007e-01 1.0912489021829714e+00
9.5250000000000001e-01 1.0913002849100455e+00
9.5500000000000007e-01 1.0913417460374348e+00
9.5750000000000002e-01 1.0913832071648244e+00
9.5999999999999996e-01 1.0914246682922137e+00
9.6250000000000002e-01 1.0914661294196031e+00
9.6499999999999997e-01 1.0914988831842274e+00
9.6750000000000003e-01 1.0915296580027685e+00
9.6999999999999997e-01 1.0915604328213098e+00
9.7250000000000003e-01 1.0915912076398508e+00
9.7499999999999998e-01 1.0916161582577595e+00
9.7750000000000004e-01 1.0916369260406684e+00
9.7999999999999998e-01 1.0916576938235774e+00
9.8250000000000004e-01 1.0916784616064863e+00
9.8499999999999999e-01 1.0916955734075153e+00
9.8750000000000004e-01 1.0917058717877686e+00
9.8999999999999999e-01 1.0917161701680218e+00
9.9250000000000005e-01 1.0917264685482750e+00
9.9500000000000000e-01 1.0917355681752714e+00
9.9750000000000005e-01 1.0917355681752714e+00
1.0000000000000000e+00 1.0917355681752714e+00
